a52dec 0.7.4-12
tracker3 3.4.2-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
twolame 0.4.0-2
tzdata 2022g-2
uchardet 0.0.8-1
upd72020x-fw 20200826-3
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vim-runtime 9.0.1182-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r506.r204-2
vte-common 0.70.2-1
vte3 0.70.2-1
vulkan-icd-loader 1.3.240-1
wavpack 5.6.0-1
wayland 1.21.0-2
wd719x-firmware 1-7
webkit2gtk 2.38.4-1
webkit2gtk-4.1 2.38.4-1
webrtc-audio-processing 0.3.1-3
whois 5.5.15-1
wildmidi 0.4.5-1
wireless_tools 30.pre9-3
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.0-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xbitmaps 1.1.2-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.2.1-1
xkeyboard-config 2.37-1
xmlsec 1.2.37-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.6-1
xorg-server-common 21.1.6-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xvidcore 1.3.7-2
xxhash 0.8.1-3
xz 5.4.1-1
yaml-cpp 0.7.0-2
yubico-c 1.13-6
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zathura 0.5.1-1
zbar 0.23.90-1
zeromq 4.3.4-2
zimg 3.0.4-1
zlib 1:1.2.13-2
zmusic 1.1.11-1
zsh 5.9-2
zstd 1.5.2-8
zvbi 0.2.39-1
zxing-cpp 2.0.0-1
